fromid,toid,distance
1,2,274.6006974
1,3,133.5833014
1,4,290.3226837
1,5,445.8255947
1,6,468.562105
1,7,342.6754177
1,8,392.3019605
1,9,244.7750136
1,10,417.8538384
1,11,347.5184934
1,12,487.5994595
1,13,518.3550376
1,14,582.1721475
1,15,563.023805
1,16,612.2070903
1,17,643.0589089
1,18,669.6726333
1,19,827.8216799
1,20,740.869887
1,21,847.0750837
1,22,880.7894914
1,23,680.0036482
1,24,769.7802772
1,25,810.987531
1,26,934.7829612
1,27,687.6447353
1,28,984.2732283
1,29,992.5012617
1,30,929.0041249
1,31,954.5741886
1,32,1097.252906
1,33,1195.10273
1,34,1135.732476
1,35,1059.826315
1,36,1192.799833
1,37,1322.199604
1,38,1287.847945
1,39,1343.598269
1,40,1396.083393
1,41,1234.718309
1,42,1381.793149
2,3,141.3220358
2,4,104.8216416
2,5,308.8735297
2,6,341.8136089
2,7,274.8229441
2,8,239.9799569
2,9,295.9222325
2,10,426.3255364
2,11,366.7665529
2,12,433.0183702
2,13,501.4073631
2,14,479.347813
2,15,509.3816815
2,16,569.9940276
2,17,553.5124333
2,18,649.0728578
2,19,796.6777249
2,20,672.4446219
2,21,759.9890143
2,22,788.2970793
2,23,629.7913967
2,24,716.8229842
2,25,728.8933111
2,26,891.2200506
2,27,583.6559103
2,28,925.6276342
2,29,945.8917208
2,30,906.3020316
2,31,891.0770418
2,32,1023.725335
2,33,1113.868044
2,34,1094.329239
2,35,1033.84773
2,36,1162.092947
2,37,1290.000108
2,38,1235.036085
2,39,1326.150602
2,40,1379.965994
2,41,1218.126345
2,42,1381.374868
3,4,176.7247398
3,5,365.6299198
3,6,393.98172
3,7,285.9006587
3,8,302.2814429
3,9,239.8270132
3,10,405.5142899
3,11,336.0185123
3,12,447.3390653
3,13,497.8339074
3,14,522.726417
3,15,526.1408205
3,16,582.3247653
3,17,591.4278377
3,18,651.754974
3,19,807.5879107
3,20,701.275274
3,21,800.2813893
3,22,831.8705136
3,23,647.9169296
3,24,738.0954769
3,25,766.0495619
3,26,909.8899258
3,27,630.2810529
3,28,952.6362931
3,29,966.7436329
3,30,914.1682881
3,31,920.3021955
3,32,1059.479877
3,33,1154.339355
3,34,1113.722535
3,35,1044.687036
3,36,1176.380325
3,37,1305.844784
3,38,1261.321939
3,39,1334.528519
3,40,1387.928996
3,41,1225.435913
3,42,1381.222656
4,5,207.2567762
4,6,239.4916043
4,7,172.9387564
4,8,138.6716117
4,9,221.768941
4,10,328.6460026
4,11,274.5141019
4,12,328.5294306
4,13,398.6296083
4,14,376.3465421
4,15,404.6094563
4,16,465.3021895
4,17,449.9758828
4,18,544.8648797
4,19,691.8805883
4,20,568.1744133
4,21,657.3946021
4,22,686.3839146
4,23,524.9745366
4,24,612.1257522
4,25,625.7194561
4,26,786.5189135
4,27,481.7592084
4,28,821.5027352
4,29,841.3217173
4,30,801.5382602
4,31,787.1390772
4,32,920.7956239
4,33,1011.856288
4,34,989.7505349
4,35,929.0260996
4,36,1057.329335
4,37,1185.314713
4,38,1131.064875
4,39,1221.329472
4,40,1275.145207
4,41,1113.318155
4,42,1276.767224
5,6,33.54668941
5,7,117.7657383
5,8,68.91456362
5,9,250.3162926
5,10,222.2158633
5,11,214.6026383
5,12,158.781696
5,13,242.8144785
5,14,171.0676724
5,15,220.1210168
5,16,280.8521033
5,17,245.9319331
5,18,365.7806218
5,19,500.0602627
5,20,366.8737154
5,21,451.1428953
5,22,479.5049507
5,23,332.0266845
5,24,414.5790949
5,25,420.4017004
5,26,588.1370504
5,27,274.8343798
5,28,618.7743504
5,29,641.2866472
5,30,609.9980586
5,31,583.715021
5,32,714.9567074
5,33,805.0705246
5,34,789.4990675
5,35,733.9238931
5,36,859.2893585
5,37,985.8743393
